epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.7726,1.74757,2.30043,1.61385,0.45147,0.61034,0.5706,0.25329,1.80836,2.10037,1.74387,0.000330383,0.000330383,0.067292
2,96.9358,1.71174,1.80503,1.6051,0.56009,0.56658,0.57109,0.23339,1.75206,3.10205,1.73256,0.000650575,0.000650575,0.0342789
3,142.798,1.64588,1.66639,1.57957,0.59796,0.68688,0.70337,0.29926,1.79923,1.51979,1.67296,0.000957567,0.000957567,0.00125255
4,189.94,1.68726,1.69383,1.61177,0.64758,0.67718,0.73287,0.29326,1.82243,1.62125,1.75262,0.0009406,0.0009406,0.0009406
5,237.76,1.62935,1.60872,1.58564,0.78507,0.73336,0.81862,0.42862,1.48732,1.31908,1.48631,0.0009208,0.0009208,0.0009208
6,283.782,1.55185,1.52759,1.5629,0.72394,0.73839,0.7826,0.37735,1.64628,1.37531,1.62538,0.000901,0.000901,0.000901
7,329.755,1.55075,1.4872,1.55606,0.78933,0.71332,0.83261,0.41001,1.64061,1.35894,1.58986,0.0008812,0.0008812,0.0008812
8,374.837,1.52409,1.39968,1.51096,0.86076,0.80937,0.88959,0.45465,1.60287,1.17732,1.53469,0.0008614,0.0008614,0.0008614
9,418.074,1.52608,1.43315,1.53046,0.68606,0.82306,0.81531,0.39726,1.59081,1.29444,1.54245,0.0008416,0.0008416,0.0008416
10,462.574,1.4883,1.36646,1.501,0.83515,0.85292,0.90008,0.47206,1.52752,1.20026,1.52341,0.0008218,0.0008218,0.0008218
11,511.036,1.47403,1.314,1.49798,0.85328,0.78918,0.88144,0.47027,1.57769,1.14906,1.54609,0.000802,0.000802,0.000802
12,558.64,1.47803,1.28844,1.50758,0.81605,0.81355,0.87867,0.46746,1.55246,1.10977,1.53441,0.0007822,0.0007822,0.0007822
13,603.513,1.4448,1.25512,1.46769,0.87302,0.81296,0.91453,0.51227,1.45446,1.09707,1.45699,0.0007624,0.0007624,0.0007624
14,647.075,1.48608,1.28756,1.51202,0.82042,0.83181,0.9042,0.50736,1.48901,1.08575,1.52093,0.0007426,0.0007426,0.0007426
15,692.212,1.44954,1.2494,1.47995,0.87816,0.84213,0.90911,0.49105,1.54111,1.06361,1.53057,0.0007228,0.0007228,0.0007228
16,738.438,1.45914,1.22785,1.48347,0.8649,0.86187,0.92079,0.51939,1.49307,1.05413,1.46655,0.000703,0.000703,0.000703
17,784.404,1.44168,1.21362,1.45212,0.85148,0.85746,0.92024,0.50268,1.50939,1.03871,1.46641,0.0006832,0.0006832,0.0006832
18,832.831,1.44658,1.17374,1.46266,0.84382,0.85362,0.91653,0.52178,1.47047,1.00953,1.44257,0.0006634,0.0006634,0.0006634
19,881.249,1.39925,1.16398,1.44418,0.90233,0.88579,0.94167,0.55188,1.41688,0.92591,1.41787,0.0006436,0.0006436,0.0006436
20,925.484,1.39511,1.13891,1.43549,0.87879,0.88022,0.91901,0.51896,1.48585,0.95792,1.47655,0.0006238,0.0006238,0.0006238
21,973.253,1.35736,1.12513,1.40967,0.90179,0.86348,0.92391,0.57181,1.34937,0.9232,1.40015,0.000604,0.000604,0.000604
22,1019.58,1.37608,1.12395,1.41174,0.90005,0.86382,0.9439,0.54852,1.40883,0.93686,1.42809,0.0005842,0.0005842,0.0005842
23,1066.74,1.37927,1.07195,1.40679,0.91432,0.88775,0.94398,0.52935,1.50448,0.87456,1.45203,0.0005644,0.0005644,0.0005644
24,1111.91,1.36385,1.04307,1.39646,0.92787,0.91972,0.95559,0.55137,1.44488,0.82797,1.40922,0.0005446,0.0005446,0.0005446
25,1157,1.35369,1.0475,1.40294,0.91284,0.88568,0.94916,0.54848,1.44806,0.89712,1.4177,0.0005248,0.0005248,0.0005248
