epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0973,1.7563,2.31949,1.63905,0.44289,0.50665,0.50123,0.22672,1.7663,1.97465,1.58471,0.000330383,0.000330383,0.067292
2,99.0624,1.70408,1.79449,1.61467,0.50172,0.55271,0.49705,0.18226,1.93642,2.37729,1.8287,0.000650575,0.000650575,0.0342789
3,146.59,1.65121,1.74901,1.60166,0.62204,0.69378,0.66935,0.31348,1.58424,1.61948,1.50022,0.000957567,0.000957567,0.00125255
4,197.154,1.62377,1.65703,1.57418,0.59862,0.58677,0.62501,0.28875,1.76376,1.67083,1.63191,0.0009406,0.0009406,0.0009406
5,246.803,1.60078,1.60573,1.5518,0.63681,0.69927,0.68638,0.33108,1.74218,1.47117,1.61813,0.0009208,0.0009208,0.0009208
6,303.274,1.58764,1.54929,1.53894,0.66461,0.73355,0.78024,0.33799,1.75567,1.56002,1.62423,0.000901,0.000901,0.000901
7,356.939,1.57563,1.52851,1.53338,0.78163,0.73854,0.80459,0.40577,1.62503,1.30797,1.54381,0.0008812,0.0008812,0.0008812
8,412.775,1.53228,1.45295,1.51242,0.82587,0.70173,0.8211,0.38654,1.69652,1.33835,1.58115,0.0008614,0.0008614,0.0008614
9,462.215,1.52125,1.39538,1.49509,0.80988,0.75517,0.85483,0.44167,1.6416,1.21419,1.51498,0.0008416,0.0008416,0.0008416
10,511.637,1.49945,1.36263,1.49929,0.81154,0.79535,0.87781,0.44692,1.60273,1.20486,1.53266,0.0008218,0.0008218,0.0008218
11,559.597,1.52551,1.3675,1.50193,0.80391,0.77313,0.85491,0.46754,1.59073,1.16915,1.51352,0.000802,0.000802,0.000802
12,607.548,1.49408,1.32224,1.47197,0.82332,0.75053,0.81874,0.38869,1.65001,1.27962,1.53252,0.0007822,0.0007822,0.0007822
13,656.924,1.48982,1.27789,1.45983,0.81133,0.77775,0.87052,0.40745,1.75867,1.21919,1.58147,0.0007624,0.0007624,0.0007624
14,707.537,1.47934,1.27157,1.46949,0.87295,0.83618,0.91294,0.48438,1.54396,1.13634,1.47696,0.0007426,0.0007426,0.0007426
15,757.787,1.4396,1.25748,1.44965,0.82283,0.81743,0.88902,0.4884,1.59667,1.08582,1.48349,0.0007228,0.0007228,0.0007228
16,806.668,1.43484,1.21576,1.44767,0.81584,0.76799,0.87798,0.49863,1.49338,1.14253,1.4246,0.000703,0.000703,0.000703
17,835.86,1.43706,1.27391,1.44742,0.87819,0.85871,0.92313,0.50119,1.54331,1.08819,1.46323,0.0006832,0.0006832,0.0006832
18,858.81,1.42415,1.20745,1.45218,0.8861,0.85136,0.91472,0.4867,1.51242,1.11039,1.48765,0.0006634,0.0006634,0.0006634
19,882.904,1.41139,1.18988,1.41677,0.83525,0.83881,0.8732,0.47026,1.56353,1.0547,1.44408,0.0006436,0.0006436,0.0006436
20,905.867,1.41466,1.16035,1.43004,0.8493,0.85344,0.88538,0.47031,1.59713,1.09589,1.52217,0.0006238,0.0006238,0.0006238
21,933.516,1.37634,1.12989,1.40491,0.87154,0.81911,0.88328,0.44147,1.73926,1.07978,1.56395,0.000604,0.000604,0.000604
22,961.418,1.40997,1.1271,1.41719,0.88584,0.86608,0.90183,0.47026,1.62863,0.97985,1.51915,0.0005842,0.0005842,0.0005842
23,987.567,1.39257,1.13926,1.41101,0.87276,0.84308,0.91079,0.50245,1.54015,1.01122,1.47125,0.0005644,0.0005644,0.0005644
24,1015.22,1.39888,1.13629,1.41735,0.89206,0.8558,0.92423,0.50884,1.55663,0.96539,1.4745,0.0005446,0.0005446,0.0005446
25,1040.5,1.3664,1.08386,1.39921,0.87439,0.85029,0.92034,0.52697,1.51543,0.97516,1.43882,0.0005248,0.0005248,0.0005248
26,1066.22,1.33676,1.08421,1.39314,0.90374,0.86924,0.92439,0.51583,1.49848,0.991,1.4636,0.000505,0.000505,0.000505
27,1091.52,1.32161,1.04536,1.36695,0.94811,0.86414,0.92644,0.52054,1.51016,0.94175,1.42771,0.0004852,0.0004852,0.0004852
28,1115.87,1.34105,1.03745,1.3731,0.93326,0.8715,0.93454,0.56101,1.3994,0.89917,1.397,0.0004654,0.0004654,0.0004654
29,1140.28,1.36151,1.04867,1.39233,0.91775,0.88425,0.94078,0.54538,1.48084,0.90283,1.39693,0.0004456,0.0004456,0.0004456
30,1164.98,1.30507,1.0196,1.35593,0.9164,0.88121,0.92851,0.51181,1.57524,0.95303,1.46386,0.0004258,0.0004258,0.0004258
31,1189.2,1.28731,0.96472,1.34718,0.93909,0.87867,0.93761,0.52118,1.52402,0.88377,1.454,0.000406,0.000406,0.000406
32,1214.54,1.29832,0.97752,1.35565,0.90316,0.89974,0.94187,0.55504,1.45764,0.83921,1.4044,0.0003862,0.0003862,0.0003862
33,1241.13,1.30293,0.96156,1.35548,0.92207,0.90193,0.94438,0.5173,1.54321,0.88807,1.45484,0.0003664,0.0003664,0.0003664
34,1268.4,1.27558,0.96717,1.35227,0.91966,0.90083,0.94317,0.54115,1.46865,0.80685,1.39079,0.0003466,0.0003466,0.0003466
35,1293.76,1.28407,0.93478,1.34268,0.93887,0.89938,0.9396,0.54754,1.4308,0.82759,1.38675,0.0003268,0.0003268,0.0003268
36,1318.83,1.27635,0.93144,1.33903,0.92634,0.89998,0.93307,0.50103,1.63209,0.84426,1.4931,0.000307,0.000307,0.000307
37,1343.54,1.28652,0.9065,1.33622,0.94731,0.90333,0.94987,0.56712,1.43819,0.78535,1.38155,0.0002872,0.0002872,0.0002872
38,1368.49,1.27125,0.91121,1.34077,0.94379,0.90445,0.94878,0.54696,1.48428,0.80113,1.40845,0.0002674,0.0002674,0.0002674
39,1393.52,1.23735,0.88781,1.31272,0.92815,0.90397,0.94542,0.54082,1.50954,0.81733,1.42391,0.0002476,0.0002476,0.0002476
40,1419.65,1.25833,0.90697,1.31262,0.95343,0.90607,0.95099,0.56049,1.45997,0.79752,1.38293,0.0002278,0.0002278,0.0002278
41,1444.5,1.13488,0.69695,1.23597,0.95394,0.91027,0.9495,0.57016,1.38343,0.78293,1.36033,0.000208,0.000208,0.000208
42,1468.6,1.1342,0.66264,1.23495,0.95339,0.90445,0.95171,0.57337,1.41223,0.75896,1.3743,0.0001882,0.0001882,0.0001882
43,1493.3,1.11008,0.64995,1.22493,0.93729,0.91899,0.95087,0.56187,1.45055,0.76488,1.40395,0.0001684,0.0001684,0.0001684
44,1518.31,1.11123,0.6385,1.23465,0.92669,0.92826,0.95269,0.57203,1.41585,0.75601,1.38322,0.0001486,0.0001486,0.0001486
45,1549.53,1.08422,0.61735,1.21232,0.94768,0.91317,0.95624,0.56696,1.43094,0.76347,1.38055,0.0001288,0.0001288,0.0001288
46,1580.64,1.0694,0.61807,1.21041,0.93371,0.92771,0.95444,0.58429,1.38926,0.73625,1.34743,0.000109,0.000109,0.000109
47,1608.17,1.08757,0.59954,1.2033,0.94508,0.92335,0.95833,0.58502,1.39871,0.72763,1.3473,8.92e-05,8.92e-05,8.92e-05
48,1636.67,1.04815,0.59578,1.19842,0.92617,0.93934,0.95638,0.573,1.42998,0.73328,1.3706,6.94e-05,6.94e-05,6.94e-05
49,1664.18,1.07028,0.58956,1.19818,0.93186,0.9421,0.95467,0.58418,1.40794,0.72065,1.34823,4.96e-05,4.96e-05,4.96e-05
50,1692.85,1.07525,0.58868,1.20416,0.93141,0.93643,0.95474,0.57845,1.41946,0.71432,1.35712,2.98e-05,2.98e-05,2.98e-05
