epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8161,1.73262,2.27822,1.58927,0.61653,0.62432,0.64346,0.28214,1.73707,1.82437,1.53416,0.000330383,0.000330383,0.067292
2,45.5348,1.71098,1.80153,1.57544,0.46519,0.60358,0.54168,0.2353,1.73173,1.77741,1.60212,0.000650575,0.000650575,0.0342789
3,69.2494,1.6513,1.74036,1.53302,0.55202,0.52403,0.49857,0.16757,1.99329,2.02176,1.8847,0.000957567,0.000957567,0.00125255
4,92.6508,1.65094,1.62414,1.5516,0.63144,0.70589,0.72596,0.34588,1.64493,1.51849,1.55006,0.0009406,0.0009406,0.0009406
5,116.592,1.61105,1.56941,1.54784,0.76281,0.73381,0.79594,0.39776,1.57532,1.42171,1.53439,0.0009208,0.0009208,0.0009208
6,143.113,1.57817,1.52293,1.51882,0.70976,0.71999,0.77725,0.32976,1.7282,1.44164,1.60177,0.000901,0.000901,0.000901
7,169.466,1.57653,1.54384,1.52861,0.79728,0.71272,0.82526,0.39663,1.66058,1.3858,1.53278,0.0008812,0.0008812,0.0008812
8,195.638,1.541,1.45458,1.49123,0.86334,0.75656,0.85767,0.42951,1.59057,1.23164,1.46603,0.0008614,0.0008614,0.0008614
9,226.276,1.55043,1.43005,1.50939,0.7709,0.76684,0.84345,0.39309,1.71596,1.36598,1.5905,0.0008416,0.0008416,0.0008416
10,251.96,1.50935,1.35751,1.46787,0.83693,0.80954,0.86004,0.4208,1.61579,1.25419,1.47329,0.0008218,0.0008218,0.0008218
11,277.773,1.47611,1.31642,1.46515,0.77397,0.80652,0.85848,0.44599,1.57583,1.17658,1.48527,0.000802,0.000802,0.000802
12,303.665,1.49951,1.3373,1.47679,0.83019,0.79611,0.87007,0.48836,1.47495,1.10322,1.4319,0.0007822,0.0007822,0.0007822
13,329.53,1.45521,1.27455,1.45208,0.81143,0.75469,0.82492,0.4468,1.58987,1.17406,1.49902,0.0007624,0.0007624,0.0007624
14,354.953,1.47897,1.27019,1.44508,0.79979,0.79725,0.83737,0.4403,1.55033,1.13595,1.44591,0.0007426,0.0007426,0.0007426
15,381.693,1.46931,1.27946,1.44174,0.77232,0.81717,0.84695,0.40493,1.72304,1.16551,1.57156,0.0007228,0.0007228,0.0007228
16,416.783,1.44888,1.25017,1.44657,0.89613,0.81787,0.90433,0.48602,1.53808,1.04953,1.45616,0.000703,0.000703,0.000703
17,445.304,1.42122,1.16069,1.41112,0.86856,0.87457,0.90493,0.45006,1.5895,1.08017,1.45483,0.0006832,0.0006832,0.0006832
18,470.634,1.43762,1.19566,1.42287,0.83592,0.813,0.88075,0.48529,1.47569,1.03214,1.42829,0.0006634,0.0006634,0.0006634
19,495.124,1.39501,1.18743,1.409,0.89534,0.83003,0.88626,0.47895,1.4971,1.05309,1.41958,0.0006436,0.0006436,0.0006436
20,522.015,1.39522,1.13338,1.38953,0.88793,0.83588,0.9029,0.51563,1.49353,0.99197,1.37712,0.0006238,0.0006238,0.0006238
21,550.112,1.39286,1.10718,1.40364,0.84352,0.85899,0.88999,0.4629,1.56421,1.0214,1.43606,0.000604,0.000604,0.000604
22,577.597,1.35955,1.03553,1.36956,0.90607,0.8581,0.90417,0.4657,1.61892,0.96648,1.4622,0.0005842,0.0005842,0.0005842
23,603.233,1.37642,1.08657,1.3911,0.90306,0.84833,0.92332,0.54128,1.45195,0.92414,1.393,0.0005644,0.0005644,0.0005644
24,628.65,1.3514,1.06511,1.37266,0.90186,0.8435,0.91597,0.50368,1.55045,0.92766,1.39326,0.0005446,0.0005446,0.0005446
25,653.998,1.33832,1.05799,1.34876,0.89276,0.87874,0.93529,0.54067,1.41341,0.913,1.3281,0.0005248,0.0005248,0.0005248
26,679.145,1.34318,1.05728,1.36138,0.93766,0.84822,0.91253,0.52045,1.48544,0.91904,1.36779,0.000505,0.000505,0.000505
27,703.955,1.31364,1.02022,1.34768,0.90098,0.86505,0.93303,0.52721,1.49216,0.90193,1.37536,0.0004852,0.0004852,0.0004852
28,730.166,1.34303,1.05277,1.37629,0.93672,0.86235,0.92824,0.54754,1.41439,0.85473,1.31003,0.0004654,0.0004654,0.0004654
29,758.109,1.31199,0.99645,1.33556,0.93935,0.83949,0.93428,0.53356,1.50508,0.86233,1.38935,0.0004456,0.0004456,0.0004456
30,786.385,1.30699,0.98711,1.34965,0.90473,0.87092,0.92739,0.51523,1.51557,0.88117,1.38815,0.0004258,0.0004258,0.0004258
31,814.782,1.29782,1.0017,1.34619,0.91464,0.85829,0.92556,0.52348,1.47978,0.87106,1.3883,0.000406,0.000406,0.000406
32,847.109,1.28533,0.97269,1.3305,0.93506,0.87664,0.93946,0.54795,1.45201,0.83067,1.33821,0.0003862,0.0003862,0.0003862
33,877.103,1.28455,0.9425,1.31006,0.93376,0.8826,0.93896,0.51155,1.5831,0.8738,1.42652,0.0003664,0.0003664,0.0003664
34,908.309,1.31667,0.98381,1.33588,0.94103,0.8813,0.93213,0.51269,1.46451,0.84101,1.35119,0.0003466,0.0003466,0.0003466
35,936.971,1.31194,0.95595,1.32626,0.93402,0.8923,0.94061,0.54253,1.44454,0.81655,1.33827,0.0003268,0.0003268,0.0003268
36,967.574,1.2506,0.93839,1.30221,0.92435,0.90536,0.93306,0.54189,1.4383,0.82651,1.3487,0.000307,0.000307,0.000307
37,999.595,1.23911,0.91522,1.29471,0.95732,0.88417,0.93659,0.53987,1.42505,0.78904,1.32427,0.0002872,0.0002872,0.0002872
38,1031,1.2766,0.90813,1.31722,0.94129,0.88521,0.92861,0.54881,1.40001,0.78237,1.31842,0.0002674,0.0002674,0.0002674
39,1061.16,1.22896,0.87511,1.29254,0.93133,0.88598,0.9366,0.55603,1.39544,0.78244,1.30711,0.0002476,0.0002476,0.0002476
40,1090.18,1.23044,0.89428,1.2888,0.94394,0.88598,0.9385,0.56937,1.3658,0.75454,1.29729,0.0002278,0.0002278,0.0002278
41,1119.99,1.10972,0.68435,1.19998,0.95206,0.91214,0.94278,0.59348,1.32479,0.73625,1.28483,0.000208,0.000208,0.000208
42,1154.71,1.11337,0.65662,1.20152,0.95683,0.91147,0.94582,0.5833,1.3762,0.73863,1.29878,0.0001882,0.0001882,0.0001882
43,1186.97,1.09039,0.63294,1.20045,0.95595,0.90225,0.95127,0.59646,1.32446,0.70542,1.28357,0.0001684,0.0001684,0.0001684
44,1217.28,1.08382,0.62331,1.18856,0.95894,0.91098,0.95019,0.5712,1.38915,0.72926,1.31402,0.0001486,0.0001486,0.0001486
45,1246.41,1.0771,0.6046,1.18485,0.95676,0.9117,0.95118,0.57375,1.36285,0.71885,1.29856,0.0001288,0.0001288,0.0001288
46,1274.52,1.08371,0.60777,1.19207,0.96442,0.91741,0.95061,0.57422,1.37392,0.70491,1.29107,0.000109,0.000109,0.000109
47,1304.57,1.0548,0.613,1.17301,0.95203,0.9117,0.94821,0.59071,1.32175,0.69777,1.2688,8.92e-05,8.92e-05,8.92e-05
48,1331.63,1.02083,0.59147,1.15899,0.95166,0.91455,0.95118,0.59351,1.32348,0.69897,1.27458,6.94e-05,6.94e-05,6.94e-05
49,1359.89,1.06374,0.59199,1.17867,0.95705,0.9117,0.95203,0.59156,1.32723,0.68705,1.27101,4.96e-05,4.96e-05,4.96e-05
50,1387.66,1.0457,0.57922,1.16808,0.95807,0.90884,0.95197,0.58421,1.33589,0.69204,1.27505,2.98e-05,2.98e-05,2.98e-05
