epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.88,1.77093,2.26644,1.66554,0.44983,0.50606,0.53013,0.21509,1.81749,2.21,1.67496,0.000330383,0.000330383,0.067292
2,57.2146,1.71106,1.82844,1.66427,0.66585,0.53849,0.61911,0.26879,1.8021,1.97743,1.76847,0.000650575,0.000650575,0.0342789
3,86.902,1.65498,1.68944,1.61665,0.53827,0.60751,0.57147,0.23874,1.85872,1.75312,1.74595,0.000957567,0.000957567,0.00125255
4,121.398,1.69909,1.6787,1.65833,0.65573,0.70524,0.73255,0.30028,1.7887,1.73936,1.70923,0.0009406,0.0009406,0.0009406
5,148.186,1.62847,1.61389,1.61142,0.73772,0.76774,0.79403,0.39761,1.60239,1.42255,1.62237,0.0009208,0.0009208,0.0009208
6,173.685,1.59992,1.58916,1.59523,0.66221,0.71395,0.69956,0.27307,1.87548,1.5126,1.8019,0.000901,0.000901,0.000901
7,198.3,1.55574,1.51564,1.57386,0.67248,0.72653,0.75982,0.39615,1.62599,1.40402,1.6225,0.0008812,0.0008812,0.0008812
8,223.463,1.60698,1.45273,1.5954,0.78376,0.7792,0.8263,0.35902,1.78474,1.29715,1.75199,0.0008614,0.0008614,0.0008614
9,248.778,1.57562,1.45713,1.5826,0.77742,0.76256,0.82384,0.41298,1.61702,1.29099,1.60524,0.0008416,0.0008416,0.0008416
10,275.494,1.50907,1.37923,1.5214,0.8271,0.75489,0.84397,0.41089,1.5873,1.30023,1.59825,0.0008218,0.0008218,0.0008218
11,300.446,1.5176,1.3914,1.55936,0.83973,0.75404,0.86564,0.42047,1.61493,1.21867,1.60543,0.000802,0.000802,0.000802
12,325.403,1.49459,1.34504,1.53587,0.86564,0.81237,0.88692,0.41693,1.70614,1.18205,1.64225,0.0007822,0.0007822,0.0007822
13,350.531,1.47371,1.2859,1.51789,0.81541,0.80178,0.87357,0.45038,1.58743,1.11161,1.57791,0.0007624,0.0007624,0.0007624
14,375.386,1.4807,1.26248,1.50547,0.86207,0.79857,0.8885,0.46206,1.57787,1.09222,1.58015,0.0007426,0.0007426,0.0007426
15,400.19,1.4564,1.26837,1.49845,0.87008,0.83557,0.90674,0.47843,1.52654,1.11601,1.51983,0.0007228,0.0007228,0.0007228
16,425.127,1.44507,1.22893,1.49318,0.84365,0.8582,0.90502,0.49368,1.48903,1.05112,1.52407,0.000703,0.000703,0.000703
17,449.474,1.47317,1.2256,1.49691,0.86573,0.83255,0.91134,0.54193,1.38294,0.98571,1.44824,0.0006832,0.0006832,0.0006832
18,474.978,1.43308,1.2021,1.48773,0.8709,0.8416,0.91537,0.49222,1.5522,1.07296,1.52587,0.0006634,0.0006634,0.0006634
19,500.436,1.42462,1.25543,1.46469,0.86304,0.85154,0.90908,0.49061,1.5191,1.07057,1.54025,0.0006436,0.0006436,0.0006436
20,525.318,1.40227,1.20435,1.44245,0.90548,0.8186,0.92092,0.52609,1.42845,0.95842,1.44488,0.0006238,0.0006238,0.0006238
21,550.314,1.3777,1.15979,1.43883,0.8817,0.83973,0.90506,0.51318,1.46889,1.04003,1.48083,0.000604,0.000604,0.000604
22,575.535,1.39987,1.14411,1.4602,0.89695,0.84087,0.93049,0.52247,1.4998,0.93809,1.47966,0.0005842,0.0005842,0.0005842
23,601.155,1.41341,1.1585,1.46335,0.86069,0.84917,0.91959,0.53947,1.44061,0.93092,1.45367,0.0005644,0.0005644,0.0005644
24,626.043,1.40789,1.10173,1.45664,0.94293,0.82829,0.92641,0.49749,1.54433,0.92882,1.50034,0.0005446,0.0005446,0.0005446
25,651.398,1.33151,1.07285,1.41202,0.8876,0.8813,0.93191,0.51743,1.46657,0.94783,1.49011,0.0005248,0.0005248,0.0005248
26,676.811,1.35339,1.09424,1.42266,0.93307,0.80019,0.91916,0.52301,1.45389,0.92492,1.47258,0.000505,0.000505,0.000505
27,702.069,1.34981,1.07314,1.42248,0.88529,0.86867,0.92376,0.52729,1.43543,0.90734,1.4598,0.0004852,0.0004852,0.0004852
28,727.526,1.34368,1.0525,1.41834,0.87459,0.89606,0.9358,0.52693,1.48049,0.88122,1.48018,0.0004654,0.0004654,0.0004654
29,752.718,1.31859,1.02775,1.38895,0.89445,0.889,0.92523,0.5048,1.52078,0.88336,1.50025,0.0004456,0.0004456,0.0004456
30,777.555,1.32325,1.00907,1.39087,0.90304,0.87706,0.93963,0.53234,1.47594,0.88626,1.4585,0.0004258,0.0004258,0.0004258
31,802.306,1.33966,1.02123,1.41071,0.922,0.88935,0.94367,0.55134,1.44028,0.85252,1.46111,0.000406,0.000406,0.000406
32,827.492,1.31837,0.99998,1.39872,0.90874,0.88377,0.94385,0.53585,1.49486,0.88818,1.48144,0.0003862,0.0003862,0.0003862
33,852.509,1.3263,1.02588,1.39999,0.93923,0.87101,0.94405,0.53788,1.47406,0.88239,1.46754,0.0003664,0.0003664,0.0003664
34,877.172,1.26425,0.95258,1.36348,0.9395,0.88168,0.9565,0.55359,1.45906,0.83244,1.46166,0.0003466,0.0003466,0.0003466
35,902.511,1.28432,0.95052,1.3817,0.92049,0.90285,0.94883,0.55897,1.45332,0.8114,1.45382,0.0003268,0.0003268,0.0003268
36,927.909,1.29001,0.92443,1.37271,0.92057,0.91914,0.95928,0.54549,1.50686,0.80163,1.46848,0.000307,0.000307,0.000307
37,952.459,1.24869,0.93703,1.34868,0.91465,0.88466,0.95013,0.51804,1.56196,0.83403,1.52512,0.0002872,0.0002872,0.0002872
38,977.664,1.26814,0.93617,1.36741,0.90966,0.89892,0.9525,0.57213,1.4032,0.79494,1.40668,0.0002674,0.0002674,0.0002674
