epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4648,1.77917,2.32314,1.70907,0.24835,0.44808,0.28089,0.09623,2.00601,2.4134,1.77108,0.000330409,0.000330409,0.0672895
2,50.5355,1.67612,1.81472,1.61735,0.6177,0.51616,0.55238,0.23796,1.86397,1.89286,1.8,0.000650601,0.000650601,0.0342763
3,76.1228,1.69729,1.72935,1.62981,0.66421,0.72203,0.71675,0.31452,1.67991,1.54811,1.57437,0.000957592,0.000957592,0.00124999
4,101.224,1.6212,1.61382,1.58994,0.71995,0.64165,0.70909,0.34418,1.65395,1.45525,1.62653,0.0009406,0.0009406,0.0009406
5,125.832,1.60054,1.60116,1.57928,0.73651,0.72835,0.79796,0.4154,1.51199,1.42184,1.53789,0.0009208,0.0009208,0.0009208
6,151.222,1.61274,1.55536,1.60351,0.74927,0.66384,0.75171,0.32336,1.7872,1.57492,1.71382,0.000901,0.000901,0.000901
7,175.871,1.60545,1.56341,1.57934,0.80281,0.73124,0.84026,0.39932,1.68616,1.30292,1.62147,0.0008812,0.0008812,0.0008812
8,200.952,1.51566,1.43964,1.52318,0.77698,0.71368,0.83371,0.44911,1.52553,1.25959,1.52518,0.0008614,0.0008614,0.0008614
9,225.669,1.57493,1.44162,1.56324,0.91252,0.77258,0.90302,0.49441,1.48387,1.12636,1.48714,0.0008416,0.0008416,0.0008416
10,250.06,1.52726,1.43848,1.52318,0.69504,0.71287,0.82424,0.43021,1.53748,1.36627,1.54913,0.0008218,0.0008218,0.0008218
11,275.382,1.49675,1.40694,1.51011,0.80786,0.76565,0.84833,0.44239,1.56907,1.21941,1.49375,0.000802,0.000802,0.000802
12,300.031,1.47955,1.31501,1.48025,0.85263,0.73975,0.85452,0.44577,1.60874,1.18671,1.58375,0.0007822,0.0007822,0.0007822
13,324.997,1.46685,1.29567,1.48833,0.82426,0.78248,0.86474,0.49141,1.50729,1.06795,1.52107,0.0007624,0.0007624,0.0007624
14,349.861,1.42129,1.2513,1.45895,0.84828,0.80412,0.87809,0.43636,1.59034,1.16814,1.58325,0.0007426,0.0007426,0.0007426
15,375.13,1.46032,1.30021,1.49559,0.86284,0.81971,0.91363,0.48603,1.57568,1.03619,1.52947,0.0007228,0.0007228,0.0007228
16,399.752,1.44942,1.25513,1.48149,0.86263,0.83141,0.90825,0.49515,1.56238,1.04263,1.55557,0.000703,0.000703,0.000703
17,425.28,1.41489,1.20783,1.44677,0.85388,0.86845,0.90394,0.47097,1.59255,1.02691,1.55483,0.0006832,0.0006832,0.0006832
18,450.513,1.44785,1.19125,1.47405,0.88446,0.80357,0.90081,0.52565,1.42163,0.99165,1.46334,0.0006634,0.0006634,0.0006634
19,475.347,1.42472,1.19314,1.47009,0.84588,0.86285,0.90615,0.47818,1.57015,1.06165,1.53387,0.0006436,0.0006436,0.0006436
20,500.682,1.43463,1.14192,1.46472,0.852,0.84692,0.89985,0.47096,1.60534,0.97997,1.56209,0.0006238,0.0006238,0.0006238
21,525.92,1.41589,1.16811,1.45725,0.86521,0.88122,0.91948,0.52045,1.46721,0.98213,1.47779,0.000604,0.000604,0.000604
22,550.69,1.40373,1.1514,1.43178,0.89379,0.85097,0.92451,0.53687,1.4687,0.95697,1.4835,0.0005842,0.0005842,0.0005842
23,575.557,1.3657,1.12475,1.39954,0.89816,0.8851,0.93373,0.5488,1.42061,0.89814,1.41868,0.0005644,0.0005644,0.0005644
24,600.934,1.35163,1.07538,1.40109,0.87061,0.89378,0.92936,0.5348,1.42467,0.89649,1.43396,0.0005446,0.0005446,0.0005446
25,626.099,1.37484,1.06534,1.40023,0.8804,0.87527,0.9315,0.53843,1.47812,0.91574,1.48285,0.0005248,0.0005248,0.0005248
26,651.095,1.35414,1.08445,1.40653,0.89121,0.86383,0.91878,0.51531,1.52462,0.87195,1.4974,0.000505,0.000505,0.000505
27,676.232,1.36482,1.07484,1.40729,0.88985,0.90393,0.93226,0.49124,1.6179,0.90598,1.56425,0.0004852,0.0004852,0.0004852
28,701.151,1.37663,1.05334,1.41481,0.92263,0.85301,0.94005,0.55666,1.43709,0.87344,1.45364,0.0004654,0.0004654,0.0004654
29,726.287,1.32033,1.04866,1.38865,0.8896,0.85443,0.92078,0.54152,1.44337,0.88956,1.45136,0.0004456,0.0004456,0.0004456
30,750.847,1.33845,1.02361,1.38004,0.89763,0.88499,0.91825,0.51631,1.5002,0.85075,1.48441,0.0004258,0.0004258,0.0004258
31,775.711,1.33314,0.99055,1.38759,0.91959,0.90314,0.94413,0.53076,1.48976,0.8441,1.46304,0.000406,0.000406,0.000406
32,801.188,1.29813,0.9925,1.37579,0.88948,0.888,0.9243,0.53705,1.44501,0.83989,1.44278,0.0003862,0.0003862,0.0003862
33,826.461,1.27135,0.96939,1.34918,0.92539,0.89809,0.94574,0.54445,1.44475,0.82362,1.45469,0.0003664,0.0003664,0.0003664
34,851.748,1.30529,0.97377,1.36061,0.92619,0.89426,0.9362,0.53642,1.48525,0.84565,1.46434,0.0003466,0.0003466,0.0003466
35,876.282,1.29025,0.95176,1.3598,0.92782,0.92033,0.9463,0.55185,1.43179,0.79356,1.44127,0.0003268,0.0003268,0.0003268
36,901.349,1.30735,0.95333,1.35845,0.89981,0.90117,0.94506,0.57595,1.37004,0.78014,1.41739,0.000307,0.000307,0.000307
37,926.303,1.28823,0.93757,1.36361,0.92348,0.89378,0.94551,0.56626,1.40641,0.77983,1.42713,0.0002872,0.0002872,0.0002872
38,950.772,1.2836,0.93988,1.3555,0.93851,0.89378,0.93825,0.56797,1.38005,0.80092,1.41254,0.0002674,0.0002674,0.0002674
39,975.714,1.26334,0.94345,1.34325,0.93021,0.90535,0.94174,0.57658,1.38606,0.76476,1.41244,0.0002476,0.0002476,0.0002476
40,1001,1.26651,0.92469,1.34598,0.91837,0.9146,0.93149,0.53267,1.4758,0.78249,1.47824,0.0002278,0.0002278,0.0002278
41,1025.86,1.15722,0.72617,1.2811,0.90584,0.91847,0.94092,0.54609,1.44141,0.7876,1.43231,0.000208,0.000208,0.000208
42,1052.78,1.1595,0.68068,1.26672,0.93075,0.91352,0.94079,0.57654,1.36488,0.74055,1.39615,0.0001882,0.0001882,0.0001882
43,1077.22,1.13886,0.67185,1.25032,0.93311,0.92711,0.94845,0.5702,1.38638,0.72112,1.4054,0.0001684,0.0001684,0.0001684
44,1101.99,1.10963,0.63403,1.24179,0.94673,0.90304,0.94891,0.57325,1.3734,0.71859,1.40161,0.0001486,0.0001486,0.0001486
45,1127.08,1.10571,0.63848,1.24806,0.92929,0.92342,0.94942,0.5683,1.40332,0.72552,1.41949,0.0001288,0.0001288,0.0001288
46,1151.27,1.10313,0.62981,1.23749,0.9457,0.90612,0.94885,0.579,1.37381,0.70274,1.39704,0.000109,0.000109,0.000109
47,1176.57,1.10242,0.62892,1.23315,0.9152,0.9175,0.94553,0.57186,1.37063,0.70911,1.40168,8.92e-05,8.92e-05,8.92e-05
48,1201.65,1.08646,0.61842,1.2332,0.93638,0.9339,0.94875,0.57711,1.3496,0.69579,1.38985,6.94e-05,6.94e-05,6.94e-05
49,1226.96,1.09576,0.60907,1.23231,0.93328,0.9339,0.95304,0.57252,1.37714,0.6974,1.40278,4.96e-05,4.96e-05,4.96e-05
50,1251.41,1.07969,0.60423,1.21188,0.93489,0.92895,0.9495,0.57023,1.3758,0.69668,1.3992,2.98e-05,2.98e-05,2.98e-05
