epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.4297,1.75666,2.26443,1.60297,0.43819,0.48034,0.43056,0.16954,1.90841,2.2506,1.73854,0.000330409,0.000330409,0.0672895
2,50.3332,1.71553,1.86638,1.60121,0.65599,0.58811,0.68775,0.32507,1.65872,1.88699,1.60236,0.000650601,0.000650601,0.0342763
3,75.1421,1.699,1.77832,1.58964,0.66538,0.6116,0.64945,0.27026,1.77071,1.67152,1.66127,0.000957592,0.000957592,0.00124999
4,100.576,1.65698,1.67868,1.57691,0.67353,0.73432,0.76635,0.36449,1.68064,1.55983,1.58068,0.0009406,0.0009406,0.0009406
5,125.599,1.6318,1.59931,1.56878,0.7198,0.66071,0.73688,0.29592,1.85669,1.76406,1.73488,0.0009208,0.0009208,0.0009208
6,150.998,1.60495,1.56885,1.53829,0.74708,0.7513,0.82369,0.41281,1.59162,1.35358,1.49753,0.000901,0.000901,0.000901
7,176.212,1.56383,1.52983,1.53845,0.71276,0.69749,0.77213,0.37764,1.6092,1.37042,1.52559,0.0008812,0.0008812,0.0008812
8,200.757,1.54785,1.49421,1.5242,0.83531,0.7514,0.84896,0.41967,1.61393,1.26386,1.53071,0.0008614,0.0008614,0.0008614
9,225.388,1.58976,1.5009,1.5111,0.84491,0.7515,0.85052,0.42887,1.58905,1.31232,1.47423,0.0008416,0.0008416,0.0008416
10,250.787,1.56875,1.47002,1.50937,0.77485,0.77259,0.83126,0.41509,1.62268,1.32932,1.53383,0.0008218,0.0008218,0.0008218
11,276.226,1.4832,1.40218,1.47912,0.78211,0.75771,0.82665,0.36516,1.77454,1.30909,1.61614,0.000802,0.000802,0.000802
12,301.461,1.50028,1.3265,1.47714,0.80088,0.78744,0.87983,0.43517,1.60053,1.22619,1.53143,0.0007822,0.0007822,0.0007822
13,326,1.49357,1.34003,1.47357,0.85806,0.75767,0.87282,0.47968,1.49668,1.1725,1.41998,0.0007624,0.0007624,0.0007624
14,351.188,1.4683,1.32418,1.44134,0.86225,0.79815,0.8813,0.45711,1.54484,1.14519,1.44932,0.0007426,0.0007426,0.0007426
15,376.86,1.48504,1.27332,1.47707,0.80814,0.81217,0.86917,0.45325,1.56513,1.14534,1.47459,0.0007228,0.0007228,0.0007228
16,402.788,1.47662,1.29596,1.44424,0.7747,0.85097,0.89447,0.49457,1.44337,1.10851,1.41296,0.000703,0.000703,0.000703
17,428.314,1.44423,1.26694,1.43782,0.85082,0.80752,0.87586,0.47874,1.50482,1.10611,1.41,0.0006832,0.0006832,0.0006832
18,454.023,1.45211,1.26326,1.44959,0.89629,0.77991,0.89695,0.49023,1.5213,1.04793,1.46527,0.0006634,0.0006634,0.0006634
19,478.981,1.47063,1.22694,1.45713,0.89316,0.8126,0.90683,0.50018,1.48043,1.04342,1.45312,0.0006436,0.0006436,0.0006436
20,505.134,1.43359,1.199,1.43578,0.89384,0.85386,0.91499,0.47254,1.56338,1.01189,1.46289,0.0006238,0.0006238,0.0006238
21,530.676,1.44441,1.15169,1.41766,0.93233,0.80845,0.91801,0.49029,1.54947,0.99489,1.45137,0.000604,0.000604,0.000604
22,556.234,1.44955,1.1929,1.4264,0.80218,0.83074,0.88996,0.47744,1.53897,1.02585,1.43632,0.0005842,0.0005842,0.0005842
23,581.635,1.37618,1.13065,1.37885,0.86945,0.83096,0.89952,0.45131,1.65484,1.00849,1.54934,0.0005644,0.0005644,0.0005644
24,606.532,1.40583,1.10831,1.402,0.89958,0.8482,0.92467,0.48132,1.62674,0.96071,1.52604,0.0005446,0.0005446,0.0005446
25,631.516,1.34648,1.09633,1.3804,0.88629,0.83266,0.91465,0.51331,1.53661,0.93009,1.44074,0.0005248,0.0005248,0.0005248
26,656.808,1.40175,1.09777,1.4198,0.89468,0.83489,0.91928,0.52014,1.53001,0.94656,1.45095,0.000505,0.000505,0.000505
27,682.601,1.37564,1.10666,1.38509,0.83974,0.86947,0.91986,0.48036,1.54256,0.96019,1.46604,0.0004852,0.0004852,0.0004852
28,707.516,1.35964,1.08953,1.38073,0.86969,0.88482,0.91641,0.5102,1.47571,0.89915,1.4299,0.0004654,0.0004654,0.0004654
29,733.143,1.35931,1.09238,1.38587,0.9141,0.8419,0.93083,0.52822,1.47558,0.86193,1.40885,0.0004456,0.0004456,0.0004456
30,758.702,1.31309,1.05778,1.33671,0.88635,0.87884,0.9179,0.52806,1.46263,0.91193,1.39563,0.0004258,0.0004258,0.0004258
31,783.853,1.35019,1.00831,1.36283,0.90341,0.89638,0.93656,0.51043,1.58363,0.88882,1.45816,0.000406,0.000406,0.000406
32,809.05,1.31303,1.04888,1.35308,0.86617,0.8613,0.92772,0.50753,1.51654,0.90287,1.41513,0.0003862,0.0003862,0.0003862
33,834.472,1.33214,1.01286,1.3697,0.92439,0.8514,0.93036,0.5301,1.50383,0.85349,1.4315,0.0003664,0.0003664,0.0003664
