epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0112,1.77159,2.21146,1.61389,0.40466,0.57286,0.44496,0.19101,1.86858,2.8364,1.61994,0.000330846,0.000330846,0.0672463
2,106.807,1.72987,1.80286,1.61359,0.70735,0.66293,0.72073,0.3401,1.62646,1.59046,1.52103,0.000651028,0.000651028,0.0342331
3,162.821,1.69,1.6845,1.6064,0.63862,0.4826,0.57966,0.2521,1.72584,1.99682,1.63357,0.000958011,0.000958011,0.00120677
4,220.763,1.66367,1.64203,1.56205,0.77015,0.70451,0.78593,0.36104,1.70347,1.50137,1.57125,0.0009406,0.0009406,0.0009406
5,276.143,1.58924,1.56448,1.57244,0.71077,0.64722,0.73906,0.39006,1.52539,1.44485,1.53554,0.0009208,0.0009208,0.0009208
6,331.192,1.57607,1.51236,1.55483,0.75692,0.72418,0.79247,0.37569,1.61018,1.50861,1.57801,0.000901,0.000901,0.000901
7,385.933,1.53924,1.47448,1.52847,0.78307,0.76941,0.84298,0.38805,1.62902,1.39116,1.59731,0.0008812,0.0008812,0.0008812
8,441.194,1.51872,1.4271,1.50323,0.81281,0.73702,0.82589,0.45282,1.50081,1.19103,1.45901,0.0008614,0.0008614,0.0008614
9,495.574,1.50431,1.39451,1.4878,0.81639,0.73969,0.84155,0.3662,1.75539,1.36204,1.63802,0.0008416,0.0008416,0.0008416
10,547.034,1.49294,1.38949,1.49688,0.785,0.73585,0.82599,0.42291,1.63765,1.19985,1.52822,0.0008218,0.0008218,0.0008218
11,600.715,1.48421,1.32722,1.47097,0.82752,0.7596,0.84566,0.46114,1.5189,1.15011,1.44512,0.000802,0.000802,0.000802
12,655.057,1.48762,1.3084,1.47013,0.85204,0.84506,0.88882,0.44491,1.59962,1.13632,1.50846,0.0007822,0.0007822,0.0007822
13,710.045,1.44606,1.25106,1.45321,0.85936,0.81944,0.9051,0.46222,1.58081,1.07646,1.47565,0.0007624,0.0007624,0.0007624
14,764.763,1.47158,1.26883,1.45584,0.84537,0.82911,0.89309,0.50692,1.46372,1.06734,1.42208,0.0007426,0.0007426,0.0007426
15,819.896,1.45274,1.20955,1.45642,0.86453,0.79525,0.90601,0.47816,1.57948,1.01738,1.46199,0.0007228,0.0007228,0.0007228
16,874.787,1.39839,1.19709,1.42948,0.85049,0.84707,0.90043,0.49751,1.52621,1.02008,1.48055,0.000703,0.000703,0.000703
17,929.485,1.43748,1.19971,1.44054,0.88928,0.84929,0.93049,0.50517,1.54777,0.99463,1.45073,0.0006832,0.0006832,0.0006832
18,983.627,1.41312,1.16961,1.42731,0.85027,0.84216,0.90711,0.48599,1.58574,1.00535,1.47537,0.0006634,0.0006634,0.0006634
19,1039.89,1.38831,1.16089,1.41482,0.87672,0.84137,0.90946,0.50204,1.56806,0.9645,1.49202,0.0006436,0.0006436,0.0006436
20,1095.22,1.40193,1.10894,1.42962,0.91289,0.8563,0.90535,0.51448,1.48253,0.93773,1.43704,0.0006238,0.0006238,0.0006238
21,1151.8,1.37526,1.12594,1.40972,0.86576,0.85585,0.91882,0.50539,1.52828,0.95606,1.46468,0.000604,0.000604,0.000604
22,1208.13,1.38909,1.11095,1.40462,0.90395,0.88601,0.94073,0.54201,1.47554,0.8942,1.41033,0.0005842,0.0005842,0.0005842
23,1263.61,1.36035,1.08132,1.38843,0.88793,0.85362,0.91631,0.49821,1.59096,0.91347,1.45053,0.0005644,0.0005644,0.0005644
24,1319.66,1.33585,1.05185,1.36947,0.92235,0.89821,0.93492,0.52832,1.4818,0.86578,1.41893,0.0005446,0.0005446,0.0005446
25,1376.08,1.36001,1.07688,1.39016,0.9156,0.85488,0.93777,0.54552,1.46959,0.87152,1.40951,0.0005248,0.0005248,0.0005248
26,1432.18,1.34471,1.04187,1.38633,0.90351,0.8777,0.93037,0.56834,1.38354,0.84383,1.34779,0.000505,0.000505,0.000505
27,1481.14,1.35402,1.05907,1.38798,0.93019,0.87545,0.93739,0.52857,1.50686,0.85472,1.39997,0.0004852,0.0004852,0.0004852
28,1530.59,1.34362,1.02462,1.36584,0.90436,0.90188,0.94011,0.51688,1.58375,0.87939,1.44385,0.0004654,0.0004654,0.0004654
29,1584.07,1.34268,1.00617,1.37136,0.92267,0.86674,0.9367,0.51618,1.57345,0.86019,1.42977,0.0004456,0.0004456,0.0004456
30,1636.77,1.30878,0.98365,1.35345,0.87119,0.92086,0.94376,0.55599,1.41779,0.80426,1.37694,0.0004258,0.0004258,0.0004258
31,1689.92,1.28952,0.95116,1.35011,0.93862,0.90659,0.94621,0.57708,1.3733,0.79347,1.3426,0.000406,0.000406,0.000406
32,1746.81,1.32055,0.95262,1.36763,0.93844,0.90028,0.94897,0.57026,1.38492,0.77658,1.32676,0.0003862,0.0003862,0.0003862
33,1798.62,1.31216,0.93491,1.3604,0.93002,0.87698,0.94248,0.57666,1.35165,0.80133,1.33868,0.0003664,0.0003664,0.0003664
34,1845.18,1.28704,0.9333,1.34588,0.9326,0.90136,0.94831,0.56995,1.36447,0.76742,1.33354,0.0003466,0.0003466,0.0003466
35,1891.3,1.30877,0.92847,1.35509,0.93474,0.90639,0.94924,0.56268,1.40232,0.74979,1.34255,0.0003268,0.0003268,0.0003268
36,1938.23,1.25513,0.93036,1.32048,0.92697,0.90199,0.94369,0.57882,1.37504,0.7524,1.34927,0.000307,0.000307,0.000307
37,1983.72,1.25606,0.90214,1.32789,0.96141,0.90066,0.95615,0.57364,1.39503,0.75961,1.36776,0.0002872,0.0002872,0.0002872
38,2033.04,1.24514,0.88071,1.32141,0.92477,0.90843,0.94343,0.55065,1.45471,0.74785,1.3892,0.0002674,0.0002674,0.0002674
39,2086.78,1.25351,0.89526,1.3193,0.94723,0.90129,0.9539,0.59118,1.35736,0.74096,1.32944,0.0002476,0.0002476,0.0002476
40,2140.53,1.25628,0.90984,1.32327,0.90432,0.92201,0.94835,0.53194,1.54265,0.75803,1.41654,0.0002278,0.0002278,0.0002278
41,2192.08,1.12877,0.68662,1.23695,0.91853,0.93199,0.95147,0.56799,1.41682,0.72185,1.36036,0.000208,0.000208,0.000208
42,2239,1.12785,0.65599,1.23153,0.92362,0.92515,0.95546,0.5903,1.34135,0.72033,1.32054,0.0001882,0.0001882,0.0001882
43,2286.95,1.09602,0.62642,1.21355,0.93377,0.91743,0.94693,0.59077,1.36993,0.69929,1.3303,0.0001684,0.0001684,0.0001684
44,2339.98,1.08758,0.6107,1.19493,0.91613,0.93658,0.95216,0.59579,1.34568,0.68048,1.30853,0.0001486,0.0001486,0.0001486
45,2393.03,1.10718,0.6234,1.20646,0.93385,0.93901,0.95537,0.59973,1.32397,0.67463,1.30683,0.0001288,0.0001288,0.0001288
46,2441.87,1.0726,0.61322,1.19866,0.93678,0.93775,0.95739,0.59365,1.36508,0.66753,1.32167,0.000109,0.000109,0.000109
47,2487.34,1.09547,0.59858,1.20516,0.93368,0.94469,0.95735,0.59652,1.32832,0.6765,1.31693,8.92e-05,8.92e-05,8.92e-05
48,2538.14,1.07089,0.59398,1.19564,0.94315,0.94849,0.95736,0.58942,1.36861,0.67542,1.33189,6.94e-05,6.94e-05,6.94e-05
49,2587.65,1.05227,0.57695,1.18125,0.9509,0.93889,0.95836,0.60243,1.33217,0.66331,1.30474,4.96e-05,4.96e-05,4.96e-05
50,2632.9,1.07778,0.58191,1.19312,0.95184,0.93949,0.95948,0.6068,1.33115,0.65665,1.30276,2.98e-05,2.98e-05,2.98e-05
